instrument,datetime,$close,$volume,"Ref($close, 1)","Mean($close, 3)",$high-$low
SH600000,2018-11-19,7.8346148,29697254.0,7.7482033,7.7794075,0.09361124
SH600000,2018-11-20,7.6977963,30390202.0,7.8346148,7.760205,0.17282295
SH600000,2018-11-21,7.6761937,22257476.0,7.6977963,7.736202,0.07921076
SH600000,2018-11-22,7.6617923,19453460.0,7.6761937,7.678594,0.115214825
SH600000,2018-11-23,7.560979,20434868.0,7.6617923,7.6329885,0.115214825
SH600000,2018-11-26,7.560979,19966020.0,7.560979,7.5945835,0.1656208
SH600000,2018-11-27,7.5537786,20948210.0,7.560979,7.558579,0.115214825
SH600000,2018-11-28,7.618587,25468396.0,7.5537786,7.5777817,0.086411
SH600000,2018-11-29,7.654592,28726396.0,7.618587,7.608986,0.15121984
SH600000,2018-11-30,7.7121983,39679100.0,7.654592,7.6617923,0.093612194
SH600000,2018-12-03,7.935428,59782630.0,7.7121983,7.767406,0.15121937
SH600000,2018-12-04,7.978633,28900832.0,7.935428,7.8754196,0.07921028
SH600000,2018-12-05,7.921026,35399880.0,7.978633,7.9450293,0.10081291
SH600000,2018-12-06,7.8490157,32770752.0,7.921026,7.916225,0.07921076
SH600000,2018-12-07,7.8418155,14693306.0,7.8490157,7.8706193,0.10801363
SH600000,2018-12-10,7.7986097,22118750.0,7.8418155,7.8298135,0.09361124
SH600000,2018-12-11,7.7194004,23933318.0,7.7986097,7.7866087,0.15121937
SH600000,2018-12-12,7.7266,17287748.0,7.7194004,7.7482033,0.13681793
SH600000,2018-12-13,7.7770066,27485802.0,7.7266,7.7410026,0.093612194
SH600000,2018-12-14,7.64739,33556532.0,7.7770066,7.716999,0.15121984
SH600000,2018-12-17,7.762605,27421766.0,7.64739,7.7290006,0.115214825
SH600000,2018-12-18,7.611385,27012722.0,7.762605,7.6737933,0.20162582
SH600000,2018-12-19,7.5897827,18891488.0,7.611385,7.654591,0.079209805
SH600000,2018-12-20,7.380956,41758360.0,7.5897827,7.5273747,0.34564495
SH600000,2018-12-21,7.251339,29004384.0,7.380956,7.407359,0.172822
SH600000,2018-12-24,7.136124,31634628.0,7.251339,7.2561398,0.12961721
SH600000,2018-12-25,7.049713,48341510.0,7.136124,7.1457253,0.18722391
SH600000,2018-12-26,6.9633017,28564638.0,7.049713,7.049713,0.172822
SH600000,2018-12-27,6.956101,37977810.0,6.9633017,6.989705,0.10081339
SH600000,2018-12-28,7.0569143,38056220.0,6.956101,6.9921055,0.172822
